Name_of_Space_Object,International_Designator,National_Designator_s1,Launch_Date,Launching_State,Launch_Site,Launch_Vehicle,Basic_Perigee,Basic_Apogee,Basic_Inclination,Current_Function,Status
,2025-048K,,2025-03-13,,,,,,,,in orbit
,2025-048L,,2025-03-13,,,,,,,,in orbit
,2025-048M,,2025-03-13,,,,,,,,in orbit
,2025-048N,,2025-03-13,,,,,,,,in orbit
,2025-048P,,2025-03-13,,,,,,,,in orbit
,2025-048Q,,2025-03-13,,,,,,,,in orbit
,2025-048R,,2025-03-13,,,,,,,,in orbit
,2025-048W,,2025-03-13,,,,,,,,in orbit
,2025-048T,,2025-03-13,,,,,,,,in orbit
,2025-048U,,2025-03-13,,,,,,,,in orbit
,2025-048V,,2025-03-13,,,,,,,,in orbit
,2025-048S,,2025-03-13,,,,,,,,in orbit
,2025-048A,,2025-03-13,,,,,,,,in orbit
,2025-048B,,2025-03-13,,,,,,,,in orbit
,2025-048C,,2025-03-13,,,,,,,,in orbit
,2025-048D,,2025-03-13,,,,,,,,in orbit
,2025-048E,,2025-03-13,,,,,,,,in orbit
,2025-048F,,2025-03-13,,,,,,,,in orbit
,2025-048G,,2025-03-13,,,,,,,,in orbit
,2025-043D,,2025-03-03,,,,,,,,in orbit
,2025-043C,,2025-03-03,,,,,,,,in orbit
,2025-043B,,2025-03-03,,,,,,,,in orbit
,2025-043A,,2025-03-03,,,,,,,,in orbit
,2025-043E,,2025-03-03,,,,,,,,in orbit
,2025-043F,,2025-03-03,,,,,,,,in orbit
,2025-043G,,2025-03-03,,,,,,,,in orbit
,2025-043H,,2025-03-03,,,,,,,,in orbit
,2025-043K,,2025-03-03,,,,,,,,in orbit
,2025-043L,,2025-03-03,,,,,,,,in orbit
,2025-043M,,2025-03-03,,,,,,,,in orbit
,2025-043N,,2025-03-03,,,,,,,,in orbit
,2025-043P,,2025-03-03,,,,,,,,in orbit
,2025-043Q,,2025-03-03,,,,,,,,in orbit
,2025-043S,,2025-03-03,,,,,,,,in orbit
,2025-043J,,2025-03-03,,,,,,,,in orbit
,2025-043R,,2025-03-03,,,,,,,,in orbit
,2025-043T,,2025-03-03,,,,,,,,in orbit
,2025-043V,,2025-03-03,,,,,,,,in orbit
,2025-043W,,2025-03-03,,,,,,,,in orbit
,2025-043U,,2025-03-03,,,,,,,,in orbit
Cosmos-2584,2025-042A,3798-2025-003,2025-03-03,,,,,,,,in orbit
,2025-039A,,2025-02-27,,,,,,,,in orbit
,2025-039B,,2025-02-27,,,,,,,,in orbit
,2025-039C,,2025-02-27,,,,,,,,in orbit
,2025-039K,,2025-02-27,,,,,,,,in orbit
,2025-039D,,2025-02-27,,,,,,,,in orbit
,2025-039E,,2025-02-27,,,,,,,,in orbit
,2025-039F,,2025-02-27,,,,,,,,in orbit
,2025-039G,,2025-02-27,,,,,,,,in orbit
,2025-039H,,2025-02-27,,,,,,,,in orbit
,2025-039J,,2025-02-27,,,,,,,,in orbit
,2025-039L,,2025-02-27,,,,,,,,in orbit
,2025-039M,,2025-02-27,,,,,,,,in orbit
,2025-039N,,2025-02-27,,,,,,,,in orbit
,2025-039P,,2025-02-27,,,,,,,,in orbit
,2025-039Q,,2025-02-27,,,,,,,,in orbit
,2025-039S,,2025-02-27,,,,,,,,in orbit
,2025-039U,,2025-02-27,,,,,,,,in orbit
,2025-039T,,2025-02-27,,,,,,,,in orbit
,2025-039V,,2025-02-27,,,,,,,,in orbit
,2025-039R,,2025-02-27,,,,,,,,in orbit
,2025-039E,,2025-02-27,,,,,,,,in orbit
Progress MS-30,2025-041B,3797-2025-002,2025-02-27,,,,,,,,in orbit
,2025-037A,,2025-02-23,,,,,,,,in orbit
,2025-037B,,2025-02-23,,,,,,,,in orbit
,2025-037C,,2025-02-23,,,,,,,,in orbit
,2025-037D,,2025-02-23,,,,,,,,in orbit
,2025-037E,,2025-02-23,,,,,,,,in orbit
,2025-037F,,2025-02-23,,,,,,,,in orbit
,2025-037G,,2025-02-23,,,,,,,,in orbit
,2025-037J,,2025-02-23,,,,,,,,in orbit
,2025-037H,,2025-02-23,,,,,,,,in orbit
,2025-037K,,2025-02-23,,,,,,,,in orbit
,2025-037L,,2025-02-23,,,,,,,,in orbit
,2025-037N,,2025-02-23,,,,,,,,in orbit
,2025-037Q,,2025-02-23,,,,,,,,in orbit
,2025-037P,,2025-02-23,,,,,,,,in orbit
,2025-037S,,2025-02-23,,,,,,,,in orbit
,2025-037T,,2025-02-23,,,,,,,,in orbit
,2025-037R,,2025-02-23,,,,,,,,in orbit
,2025-037M,,2025-02-23,,,,,,,,in orbit
,2025-037X,,2025-02-23,,,,,,,,in orbit
,2025-037U,,2025-02-23,,,,,,,,in orbit
,2025-037V,,2025-02-23,,,,,,,,in orbit
,2025-037W,,2025-02-23,,,,,,,,in orbit
,2025-035A,,2025-02-21,,,,,,,,in orbit
,2025-035B,,2025-02-21,,,,,,,,in orbit
,2025-035C,,2025-02-21,,,,,,,,in orbit
,2025-035D,,2025-02-21,,,,,,,,in orbit
,2025-035E,,2025-02-21,,,,,,,,in orbit
,2025-035F,,2025-02-21,,,,,,,,in orbit
,2025-035P,,2025-02-21,,,,,,,,in orbit
,2025-035G,,2025-02-21,,,,,,,,in orbit
,2025-035H,,2025-02-21,,,,,,,,in orbit
,2025-035J,,2025-02-21,,,,,,,,in orbit
,2025-035K,,2025-02-21,,,,,,,,in orbit
,2025-035L,,2025-02-21,,,,,,,,in orbit
,2025-035M,,2025-02-21,,,,,,,,in orbit
,2025-035N,,2025-02-21,,,,,,,,in orbit
,2025-035S,,2025-02-21,,,,,,,,in orbit
,2025-035Q,,2025-02-21,,,,,,,,in orbit
,2025-035T,,2025-02-21,,,,,,,,in orbit
,2025-035U,,2025-02-21,,,,,,,,in orbit
,2025-035V,,2025-02-21,,,,,,,,in orbit
,2025-035W,,2025-02-21,,,,,,,,in orbit
,2025-035X,,2025-02-21,,,,,,,,in orbit
,2025-035Y,,2025-02-21,,,,,,,,in orbit
,2025-035R,,2025-02-21,,,,,,,,in orbit
,2025-034A,,2025-02-18,,,,,,,,in orbit
,2025-034B,,2025-02-18,,,,,,,,in orbit
,2025-034C,,2025-02-18,,,,,,,,in orbit
